Название,Категория,Цена,Страна/Город,Ссылка,Фото
Платье женское р.46-48.,"Б/у, женская одежда, платья, сарафаны, 46 (M), 48 (L)",10 р.,Брест,https://www.kufar.by/item/153281579,https://yams.kufar.by/api/v1/kufar-ads/images/88/8848011299.jpg?rule=list_thumbs_2x
Лазерный уровень MaoVon 3D Green light 3 х 360,"Новое, строительный инструмент",430 р.,"Минск, Центральный",https://www.kufar.by/item/153280736,https://yams.kufar.by/api/v1/kufar-ads/images/88/8856731566.jpg?rule=list_thumbs_2x
Куртка HEMA ,"Б/у, женская одежда, верхняя одежда, 46 (M), 48 (L), деми",45 р.,"Минск, Центральный",https://www.kufar.by/item/153281576,https://yams.kufar.by/api/v1/kufar-ads/images/88/8870213586.jpg?rule=list_thumbs_2x
вещи для мальчика,"Б/у, одежда для мальчиков, прочая одежда для мальчиков, 80 - 86 (1-2 года), 116 - 122 (6 лет)",Бесплатно,"Минская, Молодечно",https://www.kufar.by/item/153281577,https://yams.kufar.by/api/v1/kufar-ads/images/88/8895083406.jpg?rule=list_thumbs_2x
ЗАНАВЕСКИ,"Новое, шторы, жалюзи, карнизы",Договорная,"Гродненская, Лида",https://www.kufar.by/item/148829873,https://yams.kufar.by/api/v1/kufar-ads/images/44/4468777463.jpg?rule=list_thumbs_2x
канистра 20 л..................,"Б/у, инструмент, оборудование",Договорная,"Витебская, Орша",https://auto.kufar.by/vi/153280631,https://yams.kufar.by/api/v1/kufar-ads/images/88/8847612254.jpg?rule=list_thumbs_2x
Майка и штаны,"Б/у, одежда для девочек, прочая одежда для девочек, 92 - 98 (3 года), 98 - 104 (4 года)",Бесплатно,"Минск, Первомайский",https://www.kufar.by/item/153281574,https://yams.kufar.by/api/v1/kufar-ads/images/88/8838891987.jpg?rule=list_thumbs_2x
Помпа Volkswagen Passat b4,"Б/у, запчасти для легковых авто",30 р.10 $ *,"Минская, Минский район",https://auto.kufar.by/vi/153281575,https://yams.kufar.by/api/v1/kufar-ads/images/88/8846223320.jpg?rule=list_thumbs_2x
Мягкая книжка с буквами,"Новое, игрушки и книги",7 р.,"Брестская, Пинск",https://www.kufar.by/item/153281573,https://yams.kufar.by/api/v1/kufar-ads/images/88/8860602425.jpg?rule=list_thumbs_2x
Сборник рецептур и организация общественного питан,"Б/у, книги и журналы, учебная литература",Договорная,"Минск, Фрунзенский",https://www.kufar.by/item/153281569,https://yams.kufar.by/api/v1/kufar-ads/images/88/8859277424.jpg?rule=list_thumbs_2x
Ковер,"Новое, текстиль и ковры",180 р.,"Брестская, Кобрин",https://www.kufar.by/item/153280729,https://yams.kufar.by/api/v1/kufar-ads/images/88/8810926718.jpg?rule=list_thumbs_2x
Сапоги 39 размер деми марко,"Б/у, женская обувь, сапоги, 39, деми",50 р.,"Минск, Советский",https://www.kufar.by/item/153281567,https://yams.kufar.by/api/v1/kufar-ads/images/88/8859098007.jpg?rule=list_thumbs_2x
Спиннинг ,"Б/у, охота и рыбалка",230 р.,Гомель,https://www.kufar.by/item/153281566,https://yams.kufar.by/api/v1/kufar-ads/images/88/8897334363.jpg?rule=list_thumbs_2x
Мобильные телефоны ,"Б/у, 5''- 5.4'', до 2 гб, до 8 гб, поддержка 2-х симкарт",Договорная,"Брестская, Барановичи",https://www.kufar.by/item/153281565,https://yams.kufar.by/api/v1/kufar-ads/images/88/8811534051.jpg?rule=list_thumbs_2x
Дубленка ,"Б/у, женская одежда, верхняя одежда, 54 (XXXL), зима",20 р.,"Минская, Солигорск",https://www.kufar.by/item/153281563,https://yams.kufar.by/api/v1/kufar-ads/images/88/8842959794.jpg?rule=list_thumbs_2x
Джинсовый тренч,"Б/у, женская одежда, верхняя одежда, 42 (XS), 44 (S), деми",15 р.,"Могилевская, Бобруйск",https://www.kufar.by/item/153280634,https://yams.kufar.by/api/v1/kufar-ads/images/88/8839372496.jpg?rule=list_thumbs_2x
Окно 500*600 и другие под заказ Рассрочка 0%,"Новое, окна и двери",127 р.,"Брестская, Ивацевичи",https://www.kufar.by/item/115437738,https://yams.kufar.by/api/v1/kufar-ads/images/14/1403977796.jpg?rule=list_thumbs_2x
Одежда для новорожденных. Слипики.,"Б/у, одежда до 1 года, слипы, унисекс, 56 - 62 (2-3 месяца), 62 - 68 (4-5 месяцев)",10 р.,"Минск, Партизанский",https://www.kufar.by/item/151437629,https://yams.kufar.by/api/v1/kufar-ads/images/71/7174966368.jpg?rule=list_thumbs_2x
ПДД диски ,"Новое, игрушки и книги",15 р.,Могилев,https://www.kufar.by/item/153281559,https://yams.kufar.by/api/v1/kufar-ads/images/88/8828088840.jpg?rule=list_thumbs_2x
"Накладки на колодки газ, москвич, уаз","Новое, запчасти для грузовых авто",8 р.2.67 $ *,"Минская, Солигорск",https://auto.kufar.by/vi/153281561,https://yams.kufar.by/api/v1/kufar-ads/images/88/8877544919.jpg?rule=list_thumbs_2x
Подушка ,"Б/у, запчасти для легковых авто",20 р.6.67 $ *,"Гомельская, Жлобин",https://auto.kufar.by/vi/153281560,https://yams.kufar.by/api/v1/kufar-ads/images/88/8863165814.jpg?rule=list_thumbs_2x
Платье,"Б/у, одежда для девочек, платья, сарафаны, юбки, 134 - 140 (9 лет)",20 р.,"Гомельская, Жлобин",https://www.kufar.by/item/153281562,https://yams.kufar.by/api/v1/kufar-ads/images/88/8827596991.jpg?rule=list_thumbs_2x
Рубашка для мальчика фирмы ''ELlTA'',"Б/у, одежда для мальчиков, рубашки, майки, футболки, 146 - 152 (11 лет), 152 - 158  (12 лет)",8 р.,"Гомельская, Житковичи",https://www.kufar.by/item/153281558,https://yams.kufar.by/api/v1/kufar-ads/images/88/8891686865.jpg?rule=list_thumbs_2x
Коляска 2 в 1 Camarelo Sevilla,"Б/у, коляски",400 р.,Брест,https://www.kufar.by/item/151878840,https://yams.kufar.by/api/v1/kufar-ads/images/75/7549683042.jpg?rule=list_thumbs_2x
Пасхальная композиция ''Летящая чашка'',"Новое, рукоделие, готовые изделия (hand-made)",30 р.,"Минск, Октябрьский",https://www.kufar.by/item/153281555,https://yams.kufar.by/api/v1/kufar-ads/images/88/8832440208.jpg?rule=list_thumbs_2x
Дрель срочно,"Б/у, строительный инструмент",35 р.,"Гродненская, Лида",https://www.kufar.by/item/153281556,https://yams.kufar.by/api/v1/kufar-ads/images/88/8817389837.jpg?rule=list_thumbs_2x
Перчатки удлинённые ,"Новое, перчатки и варежки",5 р.,"Минск, Московский",https://www.kufar.by/item/153281557,https://yams.kufar.by/api/v1/kufar-ads/images/88/8810550353.jpg?rule=list_thumbs_2x
"Одежда для малышей. Боди, джинсы, штанишки","Б/у, одежда до 1 года, джинсы, брюки, шорты, унисекс, 56 - 62 (2-3 месяца), 62 - 68 (4-5 месяцев), 68 - 74 (6-8 месяцев)",10 р.,"Минск, Партизанский",https://www.kufar.by/item/151437969,https://yams.kufar.by/api/v1/kufar-ads/images/71/7153431240.jpg?rule=list_thumbs_2x
Холодильник даром,"Б/у, крупная техника для кухни",Бесплатно,"Минск, Заводской",https://www.kufar.by/item/153280629,https://yams.kufar.by/api/v1/kufar-ads/images/88/8817766202.jpg?rule=list_thumbs_2x
Ноутбук emachines e642 рабочий,"Б/у, Acer, 15.6'' / 39.6 см",300 р.,Витебск,https://www.kufar.by/item/153281551,https://yams.kufar.by/api/v1/kufar-ads/images/88/8839146677.jpg?rule=list_thumbs_2x
БЛУЗКА ШИФОН.. КАРДИГАН ЖАКЕТ,"Б/у, женская одежда, блузки, 44 (S), 46 (M), 48 (L), 50 (XL), деми",20 р.,Брест,https://www.kufar.by/item/153281552,https://yams.kufar.by/api/v1/kufar-ads/images/88/8898555220.jpg?rule=list_thumbs_2x
Шорты джинсовые ,"Б/у, женская одежда, шорты, юбки, 44 (S)",30 р.,"Минск, Фрунзенский",https://www.kufar.by/item/153281553,https://yams.kufar.by/api/v1/kufar-ads/images/88/8823633328.jpg?rule=list_thumbs_2x
Книги Witch Ведьма,"Б/у, игрушки и книги",8 р.,Гомель,https://www.kufar.by/item/145133565,https://yams.kufar.by/api/v1/kufar-ads/images/94/9490059142.jpg?rule=list_thumbs_2x
Лот для девочки ,"Б/у, одежда для девочек, прочая одежда для девочек, 98 - 104 (4 года), 104 - 110 (5 лет)",6 р.,"Минская, Другие города",https://www.kufar.by/item/153280656,https://yams.kufar.by/api/v1/kufar-ads/images/88/8873182211.jpg?rule=list_thumbs_2x
Стайлер Dyson (оригинал ),"Новое, техника для красоты и здоровья",1 500 р.,"Минская, Минский район",https://www.kufar.by/item/153281550,https://yams.kufar.by/api/v1/kufar-ads/images/88/8803606725.jpg?rule=list_thumbs_2x
Окно 1400*1450 и другие под заказ Рассрочка 0%,"Новое, окна и двери",339 р.,"Брестская, Ивацевичи",https://www.kufar.by/item/115368563,https://yams.kufar.by/api/v1/kufar-ads/images/13/1392410762.jpg?rule=list_thumbs_2x
Часы Diesel,"Б/у, мужские аксессуары",200 р.,"Минская, Борисов",https://www.kufar.by/item/149187305,https://yams.kufar.by/api/v1/kufar-ads/images/48/4823458461.jpg?rule=list_thumbs_2x
KNIGHT 80,"Б/у, электронные парогенераторы",75 р.,"Минск, Фрунзенский",https://www.kufar.by/item/153280630,https://yams.kufar.by/api/v1/kufar-ads/images/88/8872586218.jpg?rule=list_thumbs_2x
Платье и панама для малышки б/у,"Б/у, одежда для девочек, платья, сарафаны, юбки, 86 - 92 (2 года)",8 р.,"Минск, Заводской",https://www.kufar.by/item/153280520,https://yams.kufar.by/api/v1/kufar-ads/images/88/8843828008.jpg?rule=list_thumbs_2x
ЗАНАВЕСКИ,"Новое, шторы, жалюзи, карнизы",Договорная,"Гродненская, Лида",https://www.kufar.by/item/148829873,https://yams.kufar.by/api/v1/kufar-ads/images/44/4468777463.jpg?rule=list_thumbs_2x
Платье,"Новое, женская одежда, платья, сарафаны, 44 (S), 46 (M), 48 (L), 50 (XL), 52 (XXL), деми",65 р.,Витебск,https://www.kufar.by/item/152501627,https://yams.kufar.by/api/v1/kufar-ads/images/81/8132585412.jpg?rule=list_thumbs_2x
Большой выбор мужской обуви по низким ценам,"Новое, мужская обувь, спортивная обувь, 41, 42, 43, 44, 45, >45, деми",40 р.,"Минск, Московский",https://www.kufar.by/item/153281467,https://yams.kufar.by/api/v1/kufar-ads/images/88/8882492280.jpg?rule=list_thumbs_2x
"Volkswagen, Crafter, 2006","2006, менее 3 т, механика",22 140 р.7 380 $ *,"Минск, Центральный",https://auto.kufar.by/vi/147605181,https://yams.kufar.by/api/v1/kufar-ads/images/29/2951701939.jpg?rule=list_thumbs_2x
Ремонт мобильных телефонов в Орше,Бытовые услуги,Договорная,"Витебская, Орша",https://www.kufar.by/item/128040183,https://yams.kufar.by/api/v1/kufar-ads/images/81/8142804104.jpg?rule=list_thumbs_2x
Lifan X60,"2015, 1.8 л, бензин",18 576 р.6 192 $ *,"Минск, Центральный",https://auto.kufar.by/vi/151686523,https://yams.kufar.by/api/v1/kufar-ads/images/74/7464368876.jpg?rule=list_thumbs_2x
Воблеры,"Б/у, охота и рыбалка",19 р.,"Минск, Центральный",https://www.kufar.by/item/153281668,https://yams.kufar.by/api/v1/kufar-ads/images/88/8809774943.jpg?rule=list_thumbs_2x
215/55 R17 Kormoran Ultra High Perfomance,"Легковые шины, 215/55 R17, летние, новое",910 р.303.33 $ *,"Минск, Центральный",https://auto.kufar.by/vi/153281667,https://yams.kufar.by/api/v1/kufar-ads/images/88/8816018434.jpg?rule=list_thumbs_2x
